code,title,sense,original
11-3031,credit manager,recognition.n.03 director.n.01,credit_manager
11-3031,financial director,fiscal.a.01 film_director.n.01,financial_director
11-3031,treasurer,treasurer.n.01,treasurer
11-3031,director,director.n.01,director
11-3031,international bank manager,international.a.01 savings_bank.n.02 director.n.01,international_bank_manager
11-3031,financial officer,treasurer.n.01,financial_officer
11-3031,managing director,director.n.01,managing_director
11-3031,auditor,auditor.n.03,auditor
11-3031,bean counter,bean_counter.n.01,bean_counter
11-3031,bookkeeper,bookkeeper.n.01,bookkeeper
11-3031,certified public accountant,certified_public_accountant.n.01,certified_public_accountant
11-3031,chartered accountant,chartered_accountant.n.01,chartered_accountant
11-3031,cost accountant,cost_accountant.n.01,cost_accountant
11-3031,bank manager,bank_manager.n.01,bank_manager
11-3031,bank branch manager,savings_bank.n.02 outgrowth.n.01 director.n.01,bank_branch_manager
11-3031,financial manager,fiscal.a.01 director.n.01,financial_managers
11-3031,district manager,district_manager.n.01,district_manager
11-3051,plant superintendent,plant.n.04 superintendent.n.02,plant_superintendent
11-3051,indian chief,indian_chief.n.01,indian_chief
11-3051,manageres,manageress.n.01,manageress
11-3051,district manager,district_manager.n.01,district_manager
11-3051,bank manager,bank_manager.n.01,bank_manager
11-3051,superintendent,superintendent.n.02,superintendent
11-3051,industrial production manager,industrial.s.04 production.n.08 director.n.01,industrial_production_managers
11-3051,industrial production manager,industrial.s.04 production.n.08 director.n.01,industrial_production_manager
11-3051,manufacturing director,manufacture.v.04 film_director.n.01,manufacturing_director
11-3051,plant manager,plant.n.04 director.n.01,plant_manager
11-3051,production control manager,production.n.08 restraint.n.02 director.n.01,production_control_manager
11-3051,director,director.n.01,director
11-3051,managing director,director.n.01,managing_director
11-3051,chief,headman.n.02,chief
11-3051,tribal chief,headman.n.02,tribal_chief
11-3061,sourcing manager,source.v.02 director.n.01,sourcing_manager
11-3061,director,director.n.01,director
11-3061,managing director,director.n.01,managing_director
11-3061,administrator,administrator.n.03,administrator
11-3061,contract administrator,contract.n.03 administrator.n.03,contract_administrator
11-3061,contracting manager,catching.n.03 director.n.01,contracting_manager
11-3061,director of strategic sourcing,film_director.n.01 strategic.s.02 source.v.02,director_of_strategic_sourcing
11-3061,procurement manager,procurement.n.01 director.n.01,procurement_manager
11-3061,purchasing director,buy.v.01 film_director.n.01,purchasing_director
11-3061,bank manager,bank_manager.n.01,bank_manager
11-3061,triumvir,triumvir.n.01,triumvir
11-3061,district manager,district_manager.n.01,district_manager
11-3061,manageres,manageress.n.01,manageress
11-3061,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence
11-3061,commissioner,commissioner.n.01,commissioner
11-3071,managing director,director.n.01,managing_director
11-3071,airport manager,airport.n.01 director.n.01,airport_manager
11-3071,marine oil terminal superintendent,nautical.a.01 vegetable_oil.n.01 terminal.n.04 superintendent.n.02,marine_oil_terminal_superintendent
11-3071,logistic supply officer,logistics.n.01 provision.n.02 policeman.n.01,logistics_supply_officer
11-3071,traffic safety administrator,traffic.n.03 safety.n.06 administrator.n.03,traffic_safety_administrator
11-3071,commissioner,commissioner.n.01,commissioner
11-3071,transportation manager,transportation_system.n.01 director.n.01,transportation_manager
11-3071,district manager,district_manager.n.01,district_manager
11-3071,superintendent,superintendent.n.02,superintendent
11-3071,bank manager,bank_manager.n.01,bank_manager
11-3071,supervisor,supervisory_program.n.01,supervisor
11-3071,supervisory program,supervisory_program.n.01,supervisory_program
11-3071,polouse officer,policeman.n.01,police_officer
11-3071,warehouse manager,warehouse.n.01 director.n.01,warehouse_manager
11-3071,warehouse operation manager,warehouse.v.01 process.n.02 director.n.01,warehouse_operations_manager
11-3071,administrator,administrator.n.03,administrator
11-3071,officer,policeman.n.01,officer
11-3071,policeman,policeman.n.01,policeman
11-3071,director,director.n.01,director
11-3071,manageres,manageress.n.01,manageress
11-3071,"transportation , storage , and distribution manager",transportation_system.n.01 storehouse.n.01 distribution.n.04 director.n.01,"transportation,_storage,_and_distribution_managers"
11-3071,triumvir,triumvir.n.01,triumvir
11-3071,distribution center manager,distribution.n.04 plaza.n.02 director.n.01,distribution_center_manager
11-3071,trooper,trooper.n.03,trooper
11-3071,state trooper,trooper.n.03,state_trooper
11-3071,logistic manager,logistics.n.01 director.n.01,logistics_manager
11-3071,traffic cop,traffic_cop.n.01,traffic_cop
11-3071,polouse matron,police_matron.n.01,police_matron
11-3071,policewoman,police_matron.n.01,policewoman
11-3071,mountie,mountie.n.01,mountie
11-3071,motorcycle policeman,motorcycle_cop.n.01,motorcycle_policeman
11-3071,speed cop,motorcycle_cop.n.01,speed_cop
11-3071,inspector,inspector.n.01,inspector
11-3071,gendarme,gendarme.n.01,gendarme
11-3071,tec,detective.n.01,tec
11-3071,polouse detective,detective.n.01,police_detective
11-3071,trooper,trooper.n.02,trooper
11-3071,detective,detective.n.01,detective
11-3071,polouse constable,constable.n.03,police_constable
11-3071,captain,captain.n.03,captain
11-3071,polouse chief,captain.n.03,police_chief
11-3071,polouse captain,captain.n.03,police_captain
11-3071,cop,bull.n.05,cop
11-3071,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence
11-3071,investigator,detective.n.01,investigator
11-3071,cold storage supervisor,cold.s.13 storehouse.n.01 supervisory_program.n.01,cold_storage_supervisor
11-3111,typist,typist.n.01,typist
11-3111,working man,workman.n.01,working_man
11-3111,working person,workman.n.01,working_person
11-3111,workman,workman.n.01,workman
11-3111,spotter,spotter.n.01,spotter
11-3111,spotter,spotter.n.02,spotter
11-3111,railroad man,trainman.n.01,railroad_man
11-3111,sandwichman,sandwichman.n.01,sandwichman
11-3111,sale representative,salesperson.n.01,sales_representative
11-3111,sale rep,salesperson.n.01,sales_rep
11-3111,workingman,workman.n.01,workingman
11-3111,trainman,trainman.n.01,trainman
11-3111,tollgatherer,tollkeeper.n.01,tollgatherer
11-3111,railroader,trainman.n.01,railroader
11-3111,railway man,trainman.n.01,railway_man
11-3111,tollman,tollkeeper.n.01,tollman
11-3111,toll taker,tollkeeper.n.01,toll_taker
11-3111,tollkeeper,tollkeeper.n.01,tollkeeper
11-3111,toll collector,tollkeeper.n.01,toll_collector
11-3111,stock - taker,stocktaker.n.01,stock-taker
11-3111,staff member,staff_member.n.01,staff_member
11-3111,staffer,staff_member.n.01,staffer
11-3111,stage technician,stagehand.n.01,stage_technician
11-3111,stocktaker,stocktaker.n.01,stocktaker
11-3111,salesperson,salesperson.n.01,salesperson
11-3111,railwayman,trainman.n.01,railwayman
11-3111,public servant,public_servant.n.01,public_servant
11-3111,deliverer,deliveryman.n.01,deliverer
11-3111,porter,porter.n.06,porter
11-3111,clerk,clerk.n.01,clerk
11-3111,company man,company_man.n.01,company_man
11-3111,copyist,copyist.n.01,copyist
11-3111,crewman,crewman.n.03,crewman
11-3111,pullman porter,porter.n.06,pullman_porter
11-3111,barkeeper,bartender.n.01,barkeeper
11-3111,delivery boy,deliveryman.n.01,delivery_boy
11-3111,deliveryman,deliveryman.n.01,deliveryman
11-3111,restaurant attendant,dining-room_attendant.n.01,restaurant_attendant
11-3111,dispatcher,dispatcher.n.02,dispatcher
11-3111,shopwalker,floorwalker.n.01,shopwalker
11-3111,barkeep,bartender.n.01,barkeep
11-3111,mixologist,bartender.n.01,mixologist
11-3111,bartender,bartender.n.01,bartender
11-3111,manageres,manageress.n.01,manageress
11-3111,barman,bartender.n.01,barman
11-3111,bank manager,bank_manager.n.01,bank_manager
11-3111,office boy,office_boy.n.01,office_boy
11-3111,floorwalker,floorwalker.n.01,floorwalker
11-3111,organization man,organization_man.n.01,organization_man
11-3111,district manager,district_manager.n.01,district_manager
11-3111,compensation and benefit manager,recompense.n.02 benefit.n.03 director.n.01,compensation_and_benefits_managers
11-3111,gardener,gardener.n.02,gardener
11-3111,employee benefit coordinator,employee.n.01 benefit.n.03 coordinator.n.01,employee_benefits_coordinator
11-3111,compensation director,recompense.n.02 film_director.n.01,compensation_director
11-3111,employee benefit manager,employee.n.01 benefit.n.03 director.n.01,employee_benefits_manager
11-3111,wage and salary administrator,wage.n.01 wage.n.01 administrator.n.03,wage_and_salary_administrator
11-3111,director,director.n.01,director
11-3111,managing director,director.n.01,managing_director
11-3111,employee,employee.n.01,employee
11-3111,employee benefit director,employee.n.01 benefit.n.03 film_director.n.01,employee_benefits_director
11-3111,line worker,line_worker.n.01,line_worker
11-3121,position description manager,stead.n.01 description.n.03 director.n.01,position_description_manager
11-3121,director,director.n.01,director
11-3121,personnel manager,personnel_department.n.01 director.n.01,personnel_manager
11-3121,employee relation manager,employee.n.01 sexual_intercourse.n.01 director.n.01,employee_relations_manager
11-3121,labor relation director,undertaking.n.01 sexual_intercourse.n.01 film_director.n.01,labor_relations_director
11-3121,job analysi manager,problem.n.01 psychoanalysis.n.01 director.n.01,job_analysis_manager
11-3121,human resource manager,human.a.03 resource.n.03 director.n.01,human_resources_managers
11-3121,managing director,director.n.01,managing_director
11-3121,personnel director,personnel_department.n.01 film_director.n.01,personnel_director
11-3121,administrator,administrator.n.03,administrator
11-3121,personnel administrator,personnel_department.n.01 administrator.n.03,personnel_administrator
11-3121,district manager,district_manager.n.01,district_manager
11-3121,manageres,manageress.n.01,manageress
11-3121,commissioner,commissioner.n.01,commissioner
11-3121,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence
11-3121,triumvir,triumvir.n.01,triumvir
11-3121,bank manager,bank_manager.n.01,bank_manager
11-3131,manageres,manageress.n.01,manageress
11-3131,bank manager,bank_manager.n.01,bank_manager
11-3131,employee development manager,employee.n.01 growth.n.01 director.n.01,employee_development_manager
11-3131,employee development director,employee.n.01 growth.n.01 film_director.n.01,employee_development_director
11-3131,e - learning manager,director.n.01,e-learning_manager
11-3131,managing director,director.n.01,managing_director
11-3131,director,director.n.01,director
11-3131,training and development manager,training.n.01 growth.n.01 coach.n.01,training_and_development_managers
11-3131,district manager,district_manager.n.01,district_manager
11-9013,bank manager,bank_manager.n.01,bank_manager
11-9013,managing director,director.n.01,managing_director
11-9013,director,director.n.01,director
11-9013,operator,operator.n.05,operator
11-9013,orchard manager,grove.n.02 director.n.01,orchard_manager
11-9013,christmas tree farm manager,christmas.n.02 tree.v.04 farm.n.01 director.n.01,christmas_tree_farm_manager
11-9013,greenhouse manager,greenhouse.n.01 director.n.01,greenhouse_manager
11-9013,fish hatchery manager,pisces.n.02 hatchery.n.01 director.n.01,fish_hatchery_manager
11-9013,dairy farm manager,dairy.n.01 farm.n.01 director.n.01,dairy_farm_manager
11-9013,district manager,district_manager.n.01,district_manager
11-9013,beef farm operator,gripe.n.01 farm.n.01 operator.n.05,beef_farm_operator
11-9013,aquaculture farm manager,aquaculture.n.01 farm.n.01 director.n.01,aquaculture_farm_manager
11-9013,animal husbandry manager,animal.s.01 farming.n.01 director.n.01,animal_husbandry_manager
11-9013,agricultural crop farm manager,agricultural.a.01 crop.n.05 farm.n.01 director.n.01,agricultural_crop_farm_manager
11-9013,hatchery manager,hatchery.n.01 director.n.01,hatchery_manager
11-9013,manageres,manageress.n.01,manageress
11-9013,"farmer , rancher , and other agricultural manager",farmer.n.01 rancher.n.01 agricultural.a.01 director.n.01,"farmers,_ranchers,_and_other_agricultural_managers"
11-9021,constructor,builder.n.03,constructor
11-9021,builder,builder.n.03,builder
11-9021,triumvir,triumvir.n.01,triumvir
11-9021,general contractor,general.s.05 contractor.n.03,general_contractor
11-9021,construction superintendent,structure.n.01 superintendent.n.02,construction_superintendent
11-9021,construction coordinator,structure.n.01 coordinator.n.01,construction_coordinator
11-9021,construction manager,structure.n.01 director.n.01,construction_managers
11-9021,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence
11-9021,commissioner,commissioner.n.01,commissioner
11-9021,coordinator,coordinator.n.01,coordinator
11-9021,contractor,contractor.n.03,contractor
11-9021,superintendent,superintendent.n.02,superintendent
11-9021,administrator,administrator.n.03,administrator
11-9021,masonry contractor administrator,masonry.n.03 contractor.n.03 administrator.n.03,masonry_contractor_administrator
11-9031,coordinator,coordinator.n.01,coordinator
11-9031,childcare center administrator,childcare.n.01 plaza.n.02 administrator.n.03,childcare_center_administrator
11-9031,administrator,administrator.n.03,administrator
11-9031,childcare center director,childcare.n.01 plaza.n.02 film_director.n.01,childcare_center_director
11-9031,head start director,steer.v.01 startle.n.01 film_director.n.01,head_start_director
11-9031,director,film_director.n.01,director
11-9031,film director,film_director.n.01,film_director
11-9031,triumvir,triumvir.n.01,triumvir
11-9031,director of central intelligence,director_of_central_intelligence.n.01,director_of_central_intelligence
11-9031,commissioner,commissioner.n.01,commissioner
11-9031,"education and childcare administrator , preschool and day care",education.n.05 childcare.n.01 administrator.n.03 preschool.n.01 sidereal_day.n.01 concern.n.02,"education_and_childcare_administrators,_preschool_and_day_care"
11-9031,preschool director,preschool.n.01 film_director.n.01,preschool_director
11-9032,k - 12 school principal,school.n.07 principal.n.02,k-12_school_principal
11-9032,headmaster,headmaster.n.01,headmaster
11-9032,"education administrator , kindergarten through secondary",education.n.05 administrator.n.03 kindergarten.n.01 secondary.s.05,"education_administrators,_kindergarten_through_secondary"
11-9032,junior high school principal,junior.s.02 high.s.07 school.n.07 principal.n.02,junior_high_school_principal
11-9032,middle school principal,middle.a.04 school.n.07 principal.n.02,middle_school_principal
11-9032,principal,principal.n.02,principal
11-9032,head teacher,principal.n.02,head_teacher
11-9032,school principal,principal.n.02,school_principal
11-9032,chancellor,chancellor.n.03,chancellor
11-9032,elementary school principal,elementary.a.02 school.n.07 principal.n.02,elementary_school_principal
11-9032,high school principal,high.s.07 school.n.07 principal.n.02,high_school_principal
11-9032,master,headmaster.n.01,master
11-9032,schoolmaster,headmaster.n.01,schoolmaster
11-9032,headmistres,headmistress.n.01,headmistress
11-9033,graduate study dean,graduate.n.02 study.n.02 dean.n.04,graduate_studies_dean
11-9033,university dean,university.n.03 dean.n.01,university_dean
11-9033,director,film_director.n.01,director
11-9033,film director,film_director.n.01,film_director
11-9033,professorship,professorship.n.01,professorship
11-9033,dean,dean.n.01,dean
11-9033,"education administrator , postsecondary",education.n.05 administrator.n.03,"education_administrators,_postsecondary"
11-9033,graduate school dean,alumnus.n.01 school.n.07 dean.n.04,graduate_school_dean
11-9033,provost,provost.n.01,provost
11-9033,continuing education director,stay.v.04 education.n.05 film_director.n.01,continuing_education_director
11-9041,bank manager,bank_manager.n.01,bank_manager
11-9041,director,director.n.01,director
11-9041,mechanical engineering director,mechanical.a.03 technology.n.01 film_director.n.01,mechanical_engineering_director
11-9041,global engineering manager,global.s.01 technology.n.01 director.n.01,global_engineering_manager
11-9041,engineering research manager,technology.n.01 research.n.01 director.n.01,engineering_research_manager
11-9041,engineering manager,technology.n.01 director.n.01,engineering_manager
11-9041,engineering design manager,technology.n.01 purpose.n.01 director.n.01,engineering_design_manager
11-9041,electrical engineering director,electrical.a.01 technology.n.01 film_director.n.01,electrical_engineering_director
11-9041,district manager,district_manager.n.01,district_manager
11-9041,manageres,manageress.n.01,manageress
11-9041,managing director,director.n.01,managing_director
11-9041,proces engineering manager,summons.n.03 technology.n.01 director.n.01,process_engineering_manager
11-9051,tavern operator,tavern.n.01 operator.n.05,tavern_operator
